SFS-nr	Rubrik
1995:1051	Förordning (1995:1051) om skyldigheten att lämna läkarintyg när det gäller vissa socialförsäkringsförmåner vid sjukdom
1995:1055	Förordning (1995:1055) om dubbelbeskattningsavtal mellan Sverige och Namibia
1995:1059	Förordning (1995:1059) om dubbelbeskattningsavtal mellan Sverige och Ryssland
1995:1079	Förordning (1995:1079) om Kollegiet för avancerade studier
1995:1096	Riksbankens föreskrifter (1995:1096) om mynt på fem kronor med anledning av FN:s 50-årsjubileum
1995:1100	Förordning (1995:1100) med instruktion för Svenska FAO-kommittén
1995:1113	Tillkännagivande (1995:1113) av uppgift om Riksbankens diskonto
1995:1117	Förordning (1995:1117) om dubbelbeskattningsavtal mellan Sverige och Bolivia
1995:1122	Förordning (1995:1122) om statlig garanti för fartygsfinansiering
1995:1131	Förordning (1995:1131) om tillämpning av en överenskommelse mellan Sverige och Litauen om ömsesidigt bistånd i tullfrågor
1995:1145	Förordning (1995:1145) om redovisning av nätverksamhet
1995:1150	Förordning (1995:1150) om fastställande av omräknade belopp för tobaksskatt för år 1996
1995:1185	Förordning (1995:1185) om ikraftträdande av vissa lagar med anledning av Furstendömet Liechtensteins tillträde till avtalet om Europeiska ekonomiska samarbetsavtalet  (EES-avtalet)
1995:1189	Pantbanksförordning (1995:1189)
1995:1217	Förordning (1995:1217) om basbelopp  för år 1996
1995:1232	Förordning (1995:1232) om dubbelbeskattningsavtal mellan Sverige och Amerikas Förenta Stater
1995:1250	Förordning (1995:1250) om ränta på studielån för år 1996
1995:1255	Lag (1995:1255) om mästarbrev för hantverkare
1995:1256	Förordning (1995:1256) om mästarbrev för hantverkare
1995:1280	Stiftelseförordning (1995:1280)
1995:1300	Förordning (1995:1300) om statliga myndigheters riskhantering
1995:1301	Förordning (1995:1301) om handläggning av skadeståndsanspråk mot staten
1995:1338	Lag (1995:1338) om dubbelbeskattningsavtal mellan Sverige och Argentina
1995:1339	Lag (1995:1339) om dubbelbeskattningsavtal mellan Sverige och Ukraina
1995:137	Vägtrafikförordning (1995:137) för den kommunala organisationen för räddningstjänst under utbildning och höjd beredskap
1995:1393	Lag (1995:1393) om kommunal lantmäterimyndighet
1995:1459	Förordning (1995:1459) om avgifter vid lantmäteriförrättningar
1995:1468	Lag (1995:1468) om dubbelbeskattningsavtal mellan Sverige och Sydafrika
1995:1475	Förordning (1995:1475) om dubbelbeskattningsavtal mellan Sverige och Sydafrika
1995:1504	Lag (1995:1504) om dubbelbeskattningsavtal mellan Sverige och Malta
1995:1552	Riksbankens föreskrifter (1995:1552) om  minnesmynt på ett tusen och två hundra kronor
1995:1554	Årsredovisningslag (1995:1554)
1995:1559	Lag (1995:1559) om årsredovisning i kreditinstitut och värdepappersbolag
1995:156	Tillkännagivande (1995:156) av Färöarnas, Grönlands och Ålands anslutning till den nordiska konventionen den 15 juni 1992 om social trygghet
1995:1560	Lag (1995:1560) om årsredovisning i försäkringsföretag
1995:1571	Lag (1995:1571) om insättningsgaranti
1995:1600	Förordning (1995:1600) om årsredovisning i kreditinstitut, värdepappersbolag och försäkringsföretag
1995:1633	Förordning (1995:1633) om vissa årsredovisningsfrågor
1995:1644	Förordning (1995:1644) om generellt statsbidrag till kommuner och regioner
1995:1649	Lag (1995:1649) om byggande av järnväg
1995:1655	Förordning (1995:1655) om dubbelbeskattningsavtal mellan Sverige och Frankrike beträffande skatter på kvarlåtenskap, arv och gåva
1995:1667	Lag (1995:1667) om skatt på naturgrus
1995:1677	Statistiska centralbyråns kungörelse (1995:1677) om procenttal för ändring av vissa underhållsbidrag
1995:238	Förordning (1995:238) om totalförsvarsplikt
1995:239	Förordning (1995:239) om förmåner till totalförsvarspliktiga
1995:241	Förordning (1995:241) om disciplinansvar inom totalförsvaret, m.m.
1995:268	Förordning (1995:268) om samordning av statlig tjänstepension med vissa pensioner till riksdagens ledamöter och ledamöter av Europaparlamentet
1995:336	Förordning (1995:336) med anledning av vissa åtaganden inom Organisationen för säkerhet och samarbete i Europa (OSSE)
1995:361	Lag (1995:361) om överlämnande av förvaltningsuppgifter till Sveriges Riksidrottsförbund
1995:379	Förmynderskapsförordning (1995:379)
1995:436	Förordning (1995:436) om behörig myndighet enligt vissa EU-rättsakter rörande järnväg m.m.
1995:439	Lag (1995:439) om beskattning, förtullning och folkbokföring under krig eller krigsfara m.m.
1995:471	Tillkännagivande (1995:471) om EES-avtalets ikraftträdande med avseende på Furstendömet Liechtenstein
1995:479	Lag (1995:479) om nordisk konvention om socialt bistånd och sociala tjänster
1995:543	Lag (1995:543) om dubbelbeskattningsavtal mellan Sverige och Egypten
1995:575	Lag (1995:575) mot skatteflykt
1995:584	Föräldraledighetslag (1995:584)
1995:642	Tillkännagivande (1995:642) av Bilaga I lista G och Bilaga II till Fördraget den 25 mars 1957  om upprättandet av Europeiska ekonomiska gemenskapen
1995:649	Förordning (1995:649) om ledighet och fritid för totalförsvarspliktiga under tjänstgöring
1995:665	Förordning (1995:665) om revisorer
1995:667	Förordning (1995:667) om bidrag till vissa funktionshindrade elever i gymnasieskolan
1995:669	Lag (1995:669) om märkning av skor
1995:670	Förordning (1995:670) om märkning av skor
1995:732	Lag (1995:732) om skydd för gravfriden vid vraket efter passagerarfartyget Estonia
1995:831	Lag (1995:831) om transplantation m.m.
1995:832	Lag (1995:832) om obduktion m.m.
1995:896	Lag (1995:896) med särskilda bestämmelser om utbetalning av skattemedel år 1996
1995:911	Förordning (1995:911) om övertagande av vissa lån för bostadsändamål
1996:1	Tillkännagivande (1996:1) av uppgift om Riksbankens diskonto
1996:10	Finansinspektionens tillkännagivande (1996:10) om ändring av vissa skadelivräntor
1996:1006	Lag (1996:1006) om viss finansiell verksamhet
1996:1036	Förordning (1996:1036) om underhållsstöd
1996:1052	Tillkännagivande (1996:1052) om utgivningen av Svensk författningssamling
1996:1061	Lag (1996:1061) om minskning i särskilda fall av det generella statsbidraget till kommuner och landsting åren 1997-1999
1996:1071	Förordning (1996:1071) om tillämpning av en  tillämpningsöverenskommelse den 3 oktober 1996 till konventionen om social trygghet mellan Konungariket Sverige och Republiken Chile
1996:1118	Lag (1996:1118) om marknadsföring av kristallglas
1996:1119	Förordning (1996:1119) om marknadsföring av kristallglas
1996:1128	Förordning (1996:1128) med anledning av Sveriges tillträde till den multilaterala överenskommelsen om undervägsavgifter
1996:1139	Riksgäldskontorets föreskrifter (1996:1139)  om gällande räntesats för allemanssparandet
1996:1149	Förordning (1996:1149) om nämndemäns tjänstgöring vid ändring i indelning  av domkretsar
1996:1157	Lag (1996:1157) om läkemedelskommittéer
1996:1179	Lag (1996:1179) om ändrade förutsättningar för vissa statligt reglerade bostadslån m.m.
1996:1190	Förordning (1996:1190) om överlåtelse av statens fasta egendom, m.m.
1996:1191	Förordning (1996:1191) om överlåtelse av statens lösa egendom
1996:1317	Förordning (1996:1317) om ränta på studielån för år 1997
1996:1357	Förordning (1996:1357) om statlig ersättning för hälso- och sjukvård till asylsökande
1996:1359	Förordning (1996:1359) om ränta på återbetalning enligt lagen (1996:1030) om underhållsstöd för år 1997
1996:1436	Lag (1996:1436) med anledning av bildandet av Skattemyndigheten i Skåne län
1996:1475	Förordning (1996:1475) om skyldighet att lämna upplysningar m.m. rörande krigsfångar och andra skyddade personer
1996:1510	Lag (1996:1510) om dubbelbeskattningsavtal mellan Sverige och Luxemburg
1996:1511	Lag (1996:1511) om dubbelbeskattningsavtal mellan Sverige och Canada
1996:1512	Lag (1996:1512) om dubbelbeskattningsavtal mellan de nordiska länderna
1996:1515	Förordning (1996:1515) med instruktion för Regeringskansliet
1996:1524	Förordning (1996:1524) med regeringens arbetsgivarnyckel
1996:1598	Förordning (1996:1598) om statsbidrag till regional kulturverksamhet
1996:1605	Förordning (1996:1605) om individuell visningsersättning
1996:1610	Förordning (1996:1610) om statens utlåningsränta och statens avkastningsränta under budgetåret 1997
1996:1615	Lag (1996:1615) om omräkningstal för 1997 års taxeringsvärde
1996:1619	Rättshjälpslag (1996:1619)
1996:1620	Lag (1996:1620) om offentligt biträde
1996:167	Förordning (1996:167) om dubbelbeskattningsavtal mellan Sverige och Egypten
1996:168	Lag (1996:168) om vissa äldre sedlar
1996:19	Lag (1996:19) om begränsning av rätten att bedriva linjesjöfart på Gotland
1996:221	Förordning (1996:221) om svenska försäkringsföretags skadeförsäkringsverksamhet i Schweiz
1996:222	Förordning (1996:222) om schweiziska försäkringsföretags skadeförsäkringsverksamhet i Sverige
1996:241	Tillkännagivande (1996:241) av uppgift om Riksbankens diskonto
1996:242	Lag (1996:242) om domstolsärenden
1996:271	Förordning (1996:271) om mål och ärenden i allmän domstol
1996:31	Förordning (1996:31) om statliga myndigheters skjutvapen m.m.
1996:36	Tillkännagivande (1996:36) av lydelsen av York-Antwerpenreglerna 1994
1996:377	Förordning (1996:377) med instruktion för Högsta domstolen
1996:378	Förordning (1996:378) med instruktion för Högsta förvaltningsdomstolen
1996:379	Förordning (1996:379) med hovrättsinstruktion
1996:380	Förordning (1996:380) med kammarrättsinstruktion
1996:381	Förordning (1996:381) med tingsrättsinstruktion
1996:382	Förordning (1996:382) med förvaltningsrättsinstruktion
1996:442	Förordning (1996:442) om utländska besök vid vissa myndigheter inom Försvarsdepartementets verksamhetsområde
1996:473	Förordning (1996:473) om tillämpning av en överenskommelse mellan Sverige och Lettland om ömsesidigt bistånd i tullfrågor
1996:517	Lag (1996:517) om begränsning av tillämpningen av svensk lag vad gäller vissa brott begångna på utländska fartyg
1996:518	Lag (1996:518) om ersättningsskyldighet vid  skada på undervattenskablar och rörledningar m.m.
1996:519	Lag (1996:519) om verkställighet av domar och beslut som har meddelats enligt Förenta nationernas havsrättskonvention av den 10 december 1982
1996:66	Riksbankens föreskrifter (1996:66) om sedlar på femtio kronor
1996:67	Vapenlag (1996:67)
1996:70	Vapenförordning (1996:70)
1996:701	Inregränslag (1996:701)
1996:702	Inregränsförordning (1996:702)
1996:738	Lag (1996:738) om tillämpning av dubbelbeskattningsavtalet mellan Sverige och Brasilien
1996:742	Lag (1996:742) med särskilda bestämmelser om utbetalning av skattemedel år 1997
1996:761	Lag (1996:761) om inkomstskatteregler m.m. med anledning av ändrade bestämmelser om aktiekapitalets storlek
1996:799	Patientskadelag (1996:799)
1996:806	Förordning (1996:806) om dubbelbeskattningsavtal mellan Sverige och Ukraina
1996:810	Lag (1996:810) om registrering av riksdagsledamöters åtaganden och ekonomiska intressen
1996:832	Tillkännagivande (1996:832) av uppgift om Riksbankens diskonto
1996:837	Lag (1996:837) om tillfällig nedsättning av stämpelskatt i vissa fall
1996:877	Förordning (1996:877) om tillämpning av en  överenskommelse mellan Sverige och Tjeckien om ömsesidigt bistånd i tullfrågor
1996:879	Förordning (1996:879) om basbelopp och  förhöjt basbelopp för år 1997
1996:880	Förordning (1996:880) om finansiering genom stiftelsen Industrifonden
1996:911	Förordning (1996:911) om avgifter för vissa ärenden enligt lagen (1981:131) om kallelse på okända borgenärer
1996:927	Förordning (1996:927) om Försvarsmaktens personal
1996:93	Förordning (1996:93) om nationellt stöd till jordbruket i norra Sverige
1996:930	Förordning (1996:930) om örlogsbesök, flygning med militära luftfartyg och tjänstgöring utomlands
1996:931	Förordning (1996:931) om salut
1996:937	Tillkännagivande (1996:937) av uppgift om Riksbankens diskonto
1996:981	Lag (1996:981) om besöksinskränkningar vid viss tvångsvård
1996:999	Förordning (1996:999) om uppräkningsfaktorer vid beräkning av preliminära kommunalskattemedel
1997:1	Tillkännagivande (1997:1) av uppgift om Riksbankens diskonto
1997:1024	Lag (1997:1024) om Skatteverkets brottsbekämpande verksamhet
1997:1121	Förordning (1997:1121) om farledsavgift
1997:1124	Förordning (1997:1124) om ränta på studielån för år 1998
1997:1135	Förordning (1997:1135) om ränta på återbetalning enligt lagen (1996:1030) om underhållsstöd för år 1998
1997:1137	Lag (1997:1137) om vägavgift för vissa tunga fordon
1997:1140	Förordning (1997:1140) om vägavgift för vissa tunga fordon
1997:1144	Lag (1997:1144) om försöksverksamhet med vidgad samordnad länsförvaltning i Gotlands län
1997:1157	Förordning (1997:1157) om handräckning i skatteärenden mellan de nordiska länderna
1997:1158	Förordning (1997:1158) om statsbidrag för teckenspråksutbildning för vissa föräldrar
1997:121	Förordning (1997:121) om inspektioner enligt  Förenta nationernas konvention om förbud mot kemiska vapen m.m.
1997:1223	Förordning (1997:1223) om statens utlåningsränta och statens avkastningsränta under budgetåret 1998
1997:1293	Lag (1997:1293) om rätt till ledighet för att bedriva näringsverksamhet
1997:1328	Lag (1997:1328) med anledning av bildandet av Västra Götalands län
1997:1337	Finansinspektionens tillkännagivande (1997:1337) om ändring av vissa skadelivräntor
1997:1338	Statistiska centralbyråns kungörelse (1997:1338) om procenttal för ändring av vissa underhållsbidrag
1997:146	Hemvärnsförordning (1997:146)
1997:147	Förordning (1997:147) om förmåner till hemvärnssoldater
1997:153	Förordning (1997:153) om statsbidrag till teknik- och naturvetenskapscentrum
1997:156	Riksbankens föreskrifter (1997:156) om minnesmynt på ett tusen och två hundra kronor
1997:176	Förordning (1997:176) om underrättelse till Statens jordbruksverk om domar i vissa brottmål
1997:191	Lag (1997:191) med anledning av Sveriges tillträde till Haagkonventionen om skydd av barn och samarbete vid internationella adoptioner
1997:192	Lag (1997:192) om internationell adoptionsförmedling
1997:2	Finansinspektionens tillkännagivande (1997:2) om ändring av vissa skadelivräntor
1997:239	Lag (1997:239) om arbetslöshetskassor
1997:240	Lag (1997:240) om införande av lagen (1997:238) om arbetslöshetsförsäkring och lagen (1997:239) om  arbetslöshetskassor
1997:25	Statistiska centralbyråns kungörelse  (1997:25) om procenttal för ändring av vissa  underhållsbidrag
1997:263	Förordning (1997:263) om länsplaner för regional transportinfrastruktur
1997:265	Förordning (1997:265) om tillämpning av en konvention den 21 mars 1996 mellan Sverige och Österrike om social trygghet
1997:288	Elberedskapslag (1997:288)
1997:294	Förordning (1997:294) om elberedskap
1997:306	Växtförädlarrättslag (1997:306)
1997:383	Växtförädlarrättsförordning (1997:383)
1997:404	Rättshjälpsförordning (1997:404)
1997:405	Förordning (1997:405) om offentligt biträde
1997:406	Förordning (1997:406) om offentlig försvarare m.m.
1997:407	Förordning (1997:407) om ersättningsgaranti vid bodelning
1997:408	Förordning (1997:408) om målsägandebiträde
1997:441	Lag (1997:441) om omräkningstal för 1998 års taxeringsvärden
1997:484	Lag (1997:484) om dröjsmålsavgift
1997:576	Lag (1997:576) om särskild skatteväxling med  anledning av ändrade möjligheter för ett landsting  att begära ersättning från gymnasieelevernas hemkommuner
1997:595	Tillkännagivande (1997:595) om vissa uppgifter om överenskommelser som avses i 4 § lagen (1976:661) om  immunitet och privilegier i vissa fall
1997:596	Förordning (1997:596) om tillfällig avvikelse  från vissa bestämmelser i förordningen (1994:523) om  förmåner till frivilliga
1997:620	Lag (1997:620) om upphävande av lagen (1939:608) om enskilda vägar
1997:671	Riksbankens föreskrifter (1997:671) om  sedlar på tjugo kronor
1997:678	Förordning (1997:678) om basbelopp och  förhöjt basbelopp för år 1998
1997:684	Lag (1997:684) med särskilda bestämmelser om utbetalning av skattemedel år 1998
1997:686	Förordning (1997:686) om ansökan och redovisning av ekonomiskt bidrag från Europeiska gemenskapen till de svenska delarna av de transeuropeiska transportnätverken
1997:691	Förordning (1997:691) om avgifter vid utlandsmyndigheterna
1997:710	Förordning (1997:710) om uppräkningsfaktorer vid beräkning av preliminära kommunalskattemedel för 1998
1997:716	Förordning (1997:716) om statsbidrag till anläggande av allmän skoterled m.m.
1997:724	Lag (1997:724) om avveckling av specialsjukhus  och vårdhem
1997:735	Lag (1997:735) om riksfärdtjänst
1997:736	Lag (1997:736) om färdtjänst
1997:748	Förordning (1997:748) om begränsning av rätten att bedriva linjesjöfart på Gotland
1997:761	Förordning (1997:761) om fastställande av omräknade belopp för alkoholskatt för år 1998
1997:825	Lag (1997:825) om EG:s förordning om skydd mot extraterritoriell lagstiftning som antas av ett tredje land
1997:83	Förordning (1997:83) om EG:s förordning om skydd mot extraterritoriell lagstiftning som antas av ett tredje land
1997:836	Förordning (1997:836) om arbetslöshetskassor
1997:857	Ellag (1997:857)
1997:908	Förordning (1997:908) om premier för statens avtalsförsäkringar
1997:909	Förordning (1997:909) om handläggning av ärenden om statliga tjänstepensionsförmåner
1997:918	Lag (1997:918) om dubbelbeskattningsavtal mellan Sverige och Indien
1997:919	Lag (1997:919) om dubbelbeskattningsavtal mellan Sverige och Kazakstan
1997:929	Tillkännagivande (1997:929) i fråga om konventionen den 20 maj 1980 om erkännande och verkställighet av avgöranden rörande vårdnad om barn samt om återställande av vård av barn
1997:969	Förordning (1997:969) om import- och exportreglering
1997:982	Lag (1997:982) om anmälan av vissa allvarliga sjukdomar
1998:112	Lag (1998:112) om ansvar för elektroniska anslagstavlor
1998:1184	Förordning (1998:1184) om prisbasbelopp och förhöjt prisbasbelopp för år 1999
1998:1218	Förordning (1998:1218) med instruktion för Svenska dialoginstitutet för Mellanöstern och Nordafrika
1998:1252	Förordning (1998:1252) om områdesskydd enligt miljöbalken m.m.
1998:1270	Förordning (1998:1270) om uppräkningsfaktorer vid beräkning av preliminära kommunalskattemedel för 1999
1998:1276	Trafikförordning (1998:1276)
1998:1314	Förordning (1998:1314) om tillämpning av dubbelbeskattningsavtalet mellan de nordiska länderna
1998:1318	Förordning (1998:1318) om övervakningsnämndernas verksamhetsområden m.m.
1998:1338	Tandvårdsförordning (1998:1338)
1998:1340	Förordning (1998:1340) om inkomstgrundad ålderspension
1998:1343	Förordning (1998:1343) om stöd till fiskevården
1998:1355	Förordning (1998:1355) om trafik med höghastighetsfartyg
1998:1357	Förordning (1998:1357) om skiktgräns för statlig inkomstskatt vid 2000 års taxering
1998:1369	Förordning (1998:1369) om statsbidrag för  beställning av nyskriven svensk dramatik
1998:1379	Förordning (1998:1379) om ersättning för sakskada till polismän och anställda inom Kriminalvården m.fl.
1998:1387	Förordning (1998:1387) om fonogramersättning
1998:1388	Förordning (1998:1388) om vattenverksamheter
1998:1394	Förordning (1998:1394) om fastställande av andelar för fördelning av ålderspensionsavgifter och statliga ålderspensionsavgifter under år 1999
1998:140	Donationsförordning (1998:140)
1998:1404	Lag (1998:1404) om valutapolitik
1998:1443	Lag (1998:1443) om förbud mot införsel och utförsel av barnpornografi
1998:1474	Kommittéförordning (1998:1474)
1998:1476	Lag (1998:1476) om skattereduktion på förvärvsinkomster vid 2000 års taxering
1998:1477	Lag (1998:1477) om beräkning av viss inkomstskatt på förvärvsinkomster vid 2000 års taxering, m.m.
1998:1479	Lag (1998:1479) om värdepapperscentraler och kontoföring av finansiella instrument
1998:1512	Förordning (1998:1512) om statliga ålderspensionsavgifter
1998:1519	Förordning (1998:1519) om behörighet till vissa anställningar inom folktandvården m.m.
1998:1544	Förordning (1998:1544) om ränta på studielån för år 1999
1998:1580	Förordning (1998:1580) om fastställande av omräknade belopp för vägavgift för år 1999
1998:159	Förordning (1998:159) om dubbelbeskattningsavtal mellan Sverige och Luxemburg
1998:1590	Finansinspektionens tillkännagivande (1998:1590) om ändring av vissa skadelivräntor
1998:1591	Lag (1998:1591) om Svenska kyrkan
1998:1592	Lag (1998:1592) om införande av lagen (1998:1591) om Svenska kyrkan
1998:1593	Lag (1998:1593) om trossamfund
1998:1620	Lag (1998:1620) om beskattning av valutakursreserv
1998:1635	Förordning (1998:1635) om statens utlåningsränta och statens avkastningsränta under budgetåret 1999
1998:1636	Förordning (1998:1636) om vissa statsbidrag för utveckling av skolväsendet
1998:1652	Lag (1998:1652) om dubbelbeskattningsavtal mellan Sverige och Albanien
1998:166	Förordning (1998:166) om tillfällig avvikelse från vissa bestämmelser i förordningen (1994:523)  om förmåner till frivilliga
1998:1673	Lag (1998:1673) med anledning av en ny regionindelning för skatteförvaltningen
1998:1698	Statistiska centralbyråns kungörelse (1998:1698) om procenttal för ändring av vissa underhållsbidrag
1998:1702	Lag (1998:1702) om inspektioner enligt Förenta nationernas fördrag om fullständigt förbud mot kärnsprängningar
1998:1705	Lag (1998:1705) om inspektioner enligt konventionen om förbud mot användning, lagring, produktion och överföring av antipersonella minor (truppminor) samt om deras förstöring
1998:1707	Lag (1998:1707) om åtgärder mot buller och avgaser från mobila maskiner
1998:1709	Förordning (1998:1709) om avgaskrav för vissa förbränningsmotordrivna mobila maskiner
1998:1719	Lag (1998:1719) om riksdagsledamöternas arvode
1998:1721	Förordning (1998:1721) om dubbelbeskattningsavtal mellan Sverige och Venezuela
1998:1739	Förordning (1998:1739) om Stiftelsen Norrlandsfondens förvaltning av lokaliseringslån och regionala utvecklingslån
1998:1757	Lag (1998:1757) om förvaltning av vissa fonder inom socialförsäkringsområdet
1998:1778	Förordning (1998:1778) om ränta på återbetalning enligt lagen (1996:1030) om underhållsstöd för år 1999
1998:1785	Förordning (1998:1785) om ersättning vid skada till deltagare i vissa arbetsmarknadspolitiska program m.m.
1998:185	Förordning (1998:185) om tillämpning av en  överenskommelse mellan Sverige och Litauen  om sjukvård åt tillfälliga besökande
1998:186	Förordning (1998:186) om tillämpning av en överenskommelse mellan Sverige och Lettland om sjukvård åt tillfälliga besökande
1998:188	Riksbankens föreskrifter (1998:188) om  minnesmynt på ett tusen och två hundra kronor
1998:189	Lag (1998:189) om förhandsbesked i skattefrågor
1998:200	Förordning (1998:200) om statliga utställningsgarantier
1998:209	Lag (1998:209) om rätt till ledighet av trängande familjeskäl
1998:258	Lag (1998:258) om dubbelbeskattningsavtal mellan Sverige och Makedonien
1998:277	Förordning (1998:277) om tillämpning av en överenskommelse mellan Sverige och Slovakien om ömsesidigt bistånd i tullfrågor
1998:281	Lag (1998:281) om skydd för beteckningen Svensk författningssamling
1998:284	Lag (1998:284) om handläggningen av  ärenden om yrkesskadeförsäkring m.m.
1998:293	Lag (1998:293) om utländska försäkringsgivares och tjänstepensionsinstituts verksamhet i Sverige
1998:31	Lag (1998:31) om standarder för digital radio och tv
1998:318	Förordning (1998:318) om tillämpning av ett avtal mellan Sverige och Ryssland om ömsesidigt bistånd vid bekämpningen av vissa fiskala brott
1998:32	Förordning (1998:32) om standarder för digital radio och tv
1998:358	Lag (1998:358) om Brysselkonventionen
1998:488	Körkortslag (1998:488)
1998:492	Lag (1998:492) om biluthyrning
1998:493	Lag (1998:493) om trafikskolor
1998:506	Lag (1998:506) om flyttning och kontroll av vissa punktskattepliktiga  varor
1998:518	Förordning (1998:518) om flyttning och kontroll av vissa punktskattepliktiga varor
1998:525	Lag (1998:525) om omräkningstal för 1999 års taxeringsvärden
1998:532	Lag (1998:532) om införande av lagen (1998:531) om yrkesverksamhet på hälso- och sjukvårdens område
1998:543	Lag (1998:543) om hälsodataregister
1998:562	Förordning (1998:562) med vissa bemyndiganden för Försäkringskassan
1998:58	Förordning (1998:58) om anmälan av vissa allvarliga sjukdomar
1998:587	Lag (1998:587) om rätt för landstinget och kommunerna i Skåne län och Västra Götalands län att lämna bidrag till annan kommun
1998:603	Lag (1998:603) om verkställighet av sluten ungdomsvård
1998:620	Lag (1998:620) om belastningsregister
1998:621	Lag (1998:621) om misstankeregister
1998:641	Förordning (1998:641) om verkställighet av sluten ungdomsvård
1998:642	Förordning (1998:642) om verkställighet av frivårdspåföljder
1998:646	Lag (1998:646) med särskilda bestämmelser om utbetalning av skattemedel år 1999
1998:676	Lag (1998:676) om statlig ålderspensionsavgift
1998:68	Förordning (1998:68) om tillfällig avvikelse från en bestämmelse i förordningen (1991:1395)  om försäkring mot kostnader för sjuklön enligt 17 § lagen (1991:1047) om sjuklön
1998:714	Lag (1998:714) om ersättning vid frihetsberövanden och andra tvångsåtgärder
1998:775	Lag (1998:775) om rätt för Stiftelsen Norrlandsfonden att besluta i frågor om förvaltningen av regionala utvecklingslån
1998:780	Förordning (1998:780) om biluthyrning
1998:786	Förordning (1998:786) om internationella vägtransporter inom Europeiska ekonomiska samarbetsområdet (EES)
1998:796	Förordning (1998:796) om statlig inköpssamordning
1998:8	Förordning (1998:8) om röjningsbidrag till äppel- och päronodlare
1998:808	Miljöbalk (1998:808)
1998:811	Lag (1998:811) om införande av miljöbalken
1998:812	Lag (1998:812) med särskilda bestämmelser om vattenverksamhet
1998:813	Lag (1998:813) om införande av lagen med särskilda bestämmelser om vattenverksamhet
1998:814	Lag (1998:814) med särskilda bestämmelser om gaturenhållning och skyltning
1998:896	Förordning (1998:896) om hushållning med mark- och vattenområden
1998:898	Förordning (1998:898) om inrättande, utvidgning och avlysning av allmän farled och allmän hamn
1998:899	Förordning (1998:899) om miljöfarlig verksamhet och hälsoskydd
1998:901	Förordning (1998:901) om verksamhetsutövares egenkontroll
1998:903	Förordning (1998:903) om avgifter för prövning enligt lagen (1998:814) med särskilda bestämmelser om gaturenhållning och skyltning
1998:904	Förordning (1998:904) om anmälan för samråd
1998:915	Förordning (1998:915) om miljöhänsyn i jordbruket
1998:928	Förordning (1998:928) om bygde- och fiskeavgifter
1998:929	Förordning (1998:929) om gaturenhållning och skyltning
1998:930	Förordning (1998:930) om miljöriskområden
1998:940	Förordning (1998:940) om avgifter för prövning och tillsyn enligt miljöbalken
1998:944	Förordning (1998:944) om förbud m.m. i vissa fall i samband med hantering, införsel och utförsel av kemiska produkter
1998:958	Lag (1998:958) om vilotid för sjömän
1998:962	Förordning (1998:962) om vilotid för sjömän
1998:972	Tillkännagivande (1998:972) av uppgift om Riksbankens diskonto
1998:978	Förordning (1998:978) om trafikskolor
1998:980	Körkortsförordning (1998:980)
1999:1067	Förordning (1999:1067) om fastställande av omräknade belopp för vägavgift för år 2000
1999:1075	Förordning (1999:1075) om ränta på återbetalning enligt lagen (1996:1030) om underhållsstöd för  år 2000
1999:1076	Förordning (1999:1076) om ränta på studielån för år 2000
1999:1078	Bokföringslag (1999:1078)
1999:1079	Revisionslag (1999:1079)
1999:1134	Förordning (1999:1134) om belastningsregister
1999:1135	Förordning (1999:1135) om misstankeregister
1999:1155	Förordning (1999:1155) om Polisens utlandsstyrka
1999:116	Lag (1999:116) om skiljeförfarande
1999:1166	Förordning (1999:1166) om prövning av vissa ärenden enligt revisionslagen (1999:1079)
1999:1177	Förordning (1999:1177) om statsbidrag till idrottsverksamhet
1999:1178	Förordning (1999:1178) om fastställande av andelar för fördelning av ålderspensionsavgifter och statliga ålderspensionsavgifter under år 2000
1999:1211	Lag (1999:1211) om konvention om undanröjande av dubbelbeskattning vid justering av inkomst mellan företag i intressegemenskap
1999:1218	Förordning (1999:1218) om skatt på avfall
1999:1229	Inkomstskattelag (1999:1229)
1999:1230	Lag (1999:1230) om ikraftträdande av inkomstskattelagen (1999:1229)
1999:1305	Lag (1999:1305) om Forskarskattenämnden
1999:1309	Lag (1999:1309) om system för avveckling av förpliktelser på finansmarknaden
1999:1312	Förordning (1999:1312) om system för avveckling av förpliktelser på finansmarknaden
1999:1354	Statsflygsförordning (1999:1354)
1999:1382	Förordning (1999:1382) om stödområden för vissa regionala företagsstöd
1999:1395	Studiestödslag (1999:1395)
1999:1419	Förordning (1999:1419) om inkomstindex för år 2000
1999:1420	Förordning (1999:1420) om inkomstindex avseende åren 1960-1998
1999:1432	Finansinspektionens tillkännagivande (1999:1432) om ändring av vissa skadelivräntor
1999:1433	Riksförsäkringsverkets föreskrifter (1999:1433) om procenttal för ändring av vissa underhållsbidrag
1999:154	Förordning (1999:154) om rätt för Regeringskansliet (Utrikesdepartementet) att verkställa legaliseringar
1999:158	Lag (1999:158) om investerarskydd
1999:175	Rättsinformationsförordning (1999:175)
1999:185	Förordning (1999:185) om ikraftträdande av vissa lagar med anledning av Amsterdamfördragets ikraftträdande
1999:192	Tillkännagivande (1999:192) av uppgift om Riksbankens diskonto
1999:215	Förordning (1999:215) om lotsavgifter
1999:216	Lag (1999:216) om ögonundersökning vid misstanke om vissa brott i trafiken
