SFS-nr	Rubrik
1931:155	Lag (1931:155) angående rätt för  Konungen att meddela bestämmelser  om internationella rättsförhållanden rörande äktenskaps rättsverkningar
1931:429	Förordning (1931:429) om vissa internationella rättsförhållanden rörande äktenskap, adoption och förmynderskap
1932:130	Växellag (1932:130)
1932:131	Checklag (1932:131)
1932:242	Lag (1932:242) om skyldighet i vissa fall att tillhandahålla förnödenheter m.m. för ordningsmaktens behov
1932:540	Lag (1932:540) om erkännande och verkställighet av dom som meddelats i Island
1932:55	Lag (1932:55) om viktmärkning i vissa fall av gods som skall inlastas å fartyg
1933:132	Brev (1933:132) till Generaltullstyrelsen  angående främmande länders anslutning till konventionen den 22 november 1928 angående  internationella utställningar
1933:269	Lag (1933:269) om ägofred
1933:270	Lag (1933:270) om säkerhet för utbekommande av viss ersättning enligt lagen om ägofred
1933:28	Lag (1933:28) om ändrade bestämmelser  i vissa fall rörande fördelning av  böter m.m.
1933:315	Lag (1933:315) angående införande av lagen om boutredning och arvskifte
1933:359	Lag (1933:359) angående vad med fastighets  taxeringsvärde i vissa fall skall förstås
1933:421	Kungörelse (1933:421) angående skyldighet för länsstyrelse att utfärda bevis om laga kraft  å vissa beslut m.m.
1933:518	Kungörelse (1933:518) med vissa bestämmelser i anledning av lagen den 2 juni 1933 (nr 269) om ägofred
1933:519	Kungörelse (1933:519) om ersättning till vissa synemän samt till sakkunnigt biträde vid förrättning enligt lagen om ägofred
1933:520	Kungörelse (1933:520) angående rese- och traktamentsklass i vissa fall för förrättningsman och sakkunnigt biträde vid förrättning enligt lagen om ägofred
1933:521	Kungörelse (1933:521) med vissa föreskrifter i fråga om redovisning av förrättningsakt rörande förrättning enligt lagen om ägofred
1933:668	Kungörelse (1933:668) om beskaffenheten av laggillt stängsel i vissa delar av riket m.m.
1933:78	Förordning (1933:78) angående  beteckning för vissa slag av vin
1934:36	Kungörelse (1934:36) om betesreglering i Uppsala län
1934:447	Brev (1934:447) till socialstyrelsen  angående bestämmelser i anledning av överenskommelse mellan Sverige och Frankrike rörande lättnader i avseende å främlingskontrollen för vissa svenska och franska medborgare
1934:53	Lag (1934:53) om rätt för Konungen att meddela föreskrift om utländsk bevakningspersonals likställdhet i vissa fall med svenska tulltjänstemän
1934:59	Kungörelse (1934:59) om bestridande med allmänna medel av vissa med betesreglering förenade kostnader
1934:67	Lag (1934:67) med bestämmelser om  konkurs, som omfattar egendom i Danmark, Finland, Island eller Norge
1934:68	Lag (1934:68) om verkan av konkurs,  som inträffat i Danmark, Finland, Island eller Norge
1934:69	Lag (1934:69) om erkännande och verkställighet av vissa, i anledning av  konkurs meddelade utländska domar
1935:103	Förordning (1935:103) om utsträckt tillämpning av de i kungörelsen den 3 februari 1888 (nr 1 sid. 3) samt 4 § lagen den 2 december 1892 (nr 106) meddelade bestämmelser angående ersättning av statsmedel för gulden frälseränta
1935:3	Kungörelse (1935:3) om betesreglering i Östergötlands län
1935:47	Kungörelse (1935:47) angående viss uppgiftsskyldighet i fråga om hamnar och lastageplatser ävensom kanaler och andra vattentrafikleder
1935:576	Kungörelse (1935:576) angående tillämpning  å dödsbos konkurs av lagen den 6 april 1934  (nr 67) med bestämmelser om konkurs, som omfattar egendom i Danmark, Finland, Island eller Norge, m.m.
1935:596	Cirkulär (1935:596) till länsstyrelserna angående tillämpningen av viss bestämmelse i konventionen den  16 mars 1932 mellan Sverige och Danmark med flere  länder om erkännande och verkställighet av domar
1935:609	Brev (1935:609) till Generaltullstyrelsen  angående främmande länders anslutning till konventionen den 22 november 1928 angående  internationella utställningar
1936:320	Lag (1936:320) om skydd mot vräkning vid arbetskonflikter
1936:627	Kungörelse (1936:627) angående översändande till domkapitel av utslag  i mål vari präst blivit dömd till straff
1936:79	Lag (1936:79) om erkännande och verkställighet av dom som meddelats i Schweiz
1936:81	Lag (1936:81) om skuldebrev
1936:82	Lag (1936:82) angående  införande av lagen om skuldebrev
1936:83	Lag (1936:83) angående vissa utfästelser om gåva
1936:88	Lag (1936:88) om pantsättning av lös egendom som innehaves av tredje man
1937:346	Lag (1937:346) om upphörande av vissa frälseräntor
1937:73	Lag (1937:73) om befordran med luftfartyg
1938:121	Lag (1938:121) om hittegods
1938:189	Kungl. Maj:ts Kungörelse (1938:189) angående stapelstads- samt tullnederlags- och transitupplagsrätt för staden Köping
1938:470	Lag (1938:470) med vissa bestämmelser om främmande statsfartyg m.m.
1939:299	Lag (1939:299) om förbud i vissa fall mot överlåtelse eller upplåtelse av fartyg m.m.
1939:6	Lag (1939:6) om frihet från kvarstad för vissa luftfartyg
1940:143	Lag (1940:143) angående preskription av vissa riksbankssedlar av äldre typ
1940:176	Lag (1940:176) med vissa bestämmelser om fraktfart med svenska fartyg
1940:300	Lag (1940:300) angående  förordnande om anstånd med betalning av gäld m.m. (moratorielag)
1940:553	Brev (1940:553) till chefen för försvarsstaben angående utlåning och försäljning av skjutvapen m.m. från kronans förråd
1940:72	Kungörelse (1940:72) med vissa föreskrifter i fråga om redovisning av förrättningsakt m.m. rörande förrättning enligt lagen den 3 september 1939 (nr 608) om enskilda vägar
1940:79	Lag (1940:79) om utsträckning  av tiden för upptagande av  växelprotest m.m. vid krig eller  krigsfara
1941:881	Lag (1941:881) med vissa  bestämmelser om dödande av handlingar  som förstörts under krig m.m.
1941:939	Brev (1941:939) till direktionen för Abraham Rydbergs Stiftelse till danande av skickliga sjömän angående fastställelse av nytt reglemente för stiftelsen
1942:723	Lag (1942:723) om skyddsympning inom försvarsväsendet
1942:725	Kungörelse (1942:725) med närmare föreskrifter angående tillämpning av lagen den 18 juli 1942 (nr 723) om skyddsympning inom försvarsväsendet
1942:740	Rättegångsbalk (1942:740)
1943:182	Lag (1943:182) med särskilda bestämmelser om försäkring för olycksfall i arbete av vissa  tjänstepliktiga m.m.
1943:183	Förordning (1943:183) om ersättning i  vissa fall i anledning av  kroppsskada,  ådragen under fullgörande av tjänsteplikt
1943:881	Lag (1943:881) om polisens ställning under krig
1944:181	Lag (1944:181) om redovisningsmedel
1944:271	Kungörelse (1944:271) med särskilda  föreskrifter angående inrättande  och förande av ny fastighetsbok  i fråga om vissa järnvägar
1944:302	Lag (1944:302) om köpares rätt till märkt virke
1944:407	Kungörelse (1944:407)med provisoriska  bestämmelser angående meritberäkning för befälsutbildad värnpliktig m.m.
1944:475	Lag (1944:475) om arbetslöshetsnämnd
1945:119	Lag (1945:119) om stängselskyldighet för järnväg m.m.
1946:727	Lag (1946:727) om kommunal fondbildning
1946:741	Lag (1946:741) om förlängning av tiden för vissa servitut
1946:804	Lag (1946:804) om införande av nya rättegångsbalken
1946:805	Lag (1946:805) med särskilda bestämmelser angående vittne vid vissa rättshandlingar
1946:816	Lag (1946:816) om bevisupptagning åt utländsk domstol
1946:817	Lag (1946:817) om bevisupptagning vid utländsk domstol
1946:818	Lag (1946:818) om bevisupptagning åt vissa internationella organ
1946:819	Lag (1946:819) om upptagande av ed för rättighets tillvaratagande i utlandet
1947:32	Kungörelse (1947:32) om betesreglering inom Nedertorneå och Karl Gustavs socknar i Norrbottens län
1947:339	Förordning (1947:339) om rätt att vid taxering för inkomst njuta avdrag för avgifter till vissa stiftelser, m.m.
1947:847	Kungörelse (1947:847) med vissa bestämmelser  rörande tillämpningen av lagen den 20 december 1946 (nr 817) om bevisupptagning vid utländsk  domstol
1947:848	Kungörelse (1947:848) med särskilda bestämmelser om bevisupptagning åt domstolarna i vissa  främmande stater
1947:948	Förundersökningskungörelse (1947:948)
1948:497	Förordning (1948:497) om rätt att vid taxering för inkomst njuta avdrag för avgifter till vissa stiftelser, m.m.
1949:105	Tryckfrihetsförordning (1949:105)
1949:165	Lag (1949:165) angående beslag å vissa skrifter
1949:34	Kungörelse (1949:34) om betesreglering inom vissa skogsvårdsområden i Lycksele, Fredrika, Stensele, Vilhelmina, Örträsks och Åsele socknar i Västerbottens län
1949:345	Lag (1949:345) om rätten till arbetstagares uppfinningar
1949:381	Föräldrabalk (1949:381)
1949:382	Lag (1949:382) om införande av föräldrabalken
1949:661	Förordning (1949:661) om skyldighet för domstol att lämna uppgifter i mål och ärenden enligt föräldrabalken, m.m.
1950:25	Förordning (1950:25) om rätt att vid taxering för inkomst njuta avdrag för avgifter till Stiftelsen Trävaruindustriens konjunkturutjämningsfond, m.m.
1950:262	Förordning (1950:262) angående  omreglering av vissa ersättningar  i anledning av kroppsskada, ådragen  under militärtjänstgöring
1950:263	Förordning (1950:263) om upphävande  av vissa bestämmelser angående ersättning  i anledning av kroppsskada, ådragen under militärtjänstgöring, m.m.
1950:295	Förordning (1950:295) om tillägg av statsmedel å vissa ersättningar enligt lagen om försäkring för olycksfall i arbete m.m.
1950:335	Kungörelse (1950:335) med  tillämpningsföreskrifter till förordningen den 2 juni 1950 (nr 262) angående omreglering av vissa ersättningar i anledning av kroppsskada,  ådragen under militärtjänstgöring
1950:407	Kungörelse (1950:407) om inbetalning av avgifter till Patent- och registreringsverket genom Posten
1950:431	Kungörelse (1950:431) med vissa föreskrifter angående taxering och debitering av skatt vid ändring i kommunal indelning, m.m.
1950:595	Lag (1950:595) om gräns mot allmänt vattenområde
